"","Phylum_Reads","Family_Reads","Genus_Reads","Species_Reads"
"1Mt_NR_R_NC",3886,3886,3886,3886
"1MSc_R_NTC",89856,89856,89856,89856
"1MSm_R_DCM",66,66,66,66
"1MSc_R_DCCA",4748,4748,4748,4748
"1MSm_R_DCMA",194,194,194,194
"2_Asc_Re_R_1",5466606,5466606,5466606,5466606
"2_Asc_Re_R_2",4844254,4844254,4844254,4844254
"2_Asc_Re_R_3",9939590,9939590,9939590,9939590
"2_Asc_Re_R_4",18057358,18057358,18057358,18057358
"3_Asc_Re_R_1",6995234,6995234,6995234,6995234
"3_Asc_Re_R_2",8188476,8188476,8188476,8188476
"3_Asc_Re_R_3",8630824,8630824,8630824,8630824
"3_Asc_Re_R_4",9397736,9397736,9397736,9397736
"1_At_R_1",7348374,7348374,7348374,7348374
"1_A6_R_1",37075412,37075412,37075412,37075412
"1_A5_R_1",22113464,22113464,22113464,22113464
"1_A4_R_1",1076768,1076768,1076768,1076768
"1_A3_R_1",1480,1480,1480,1480
"1_A2_R_1",402,402,402,402
"1_A1_R_1",80,80,80,80
"2_A1_R_1",74,74,74,74
"2_A2_R_1",1058,1058,1058,1058
"2_A3_R_1",6552,6552,6552,6552
